Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C27, C28, C29, C34, C35, C36, C37, C38, C39, C40, C41",0402,13,0.1uF,CL05B104KA5NNNC
"C24, C25, C26",0402,3,4.7μF,GRM155D80E475ME47J
C5,0603,1,10pF,
C6,0603,1,10pF,C1608C0G1H080D080AA
D1,LED-APA102-2020,1,APA102-2020,
J1,TYPE-C-31-M-14,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x03_P2.54mm_Vertical,1,SWD,
"J3, J4",PinHeader_1x14_P2.54mm_Vertical,2,Conn_01x12_Pin,
L1,0805,1,L,AOTA-B201610S3R3-101-T 
"R1, R52, R53",0402,3,5.1k,RC0402FR-075K1L
"R23, R50, R51",0402,3,33Ω,RC0402FR-0733RL
"R29, R49, R54",0603,3,1k,RT0603FRE101KL
RESET1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
U1,DFN5B_TOS,1,TCR8BM33A_L3F,
U14,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2354A,SC1511(13)-A4
USBDEV1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal,ABM8-272-T3
